File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ListWidget\container.cpp,135,84,59,8,23,0,28,135,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ListWidget\abstractlistedwidget.h,85,45,22,0,22,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ListWidget\container.h,79,41,17,0,20,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\LoaderScreen\loaderscreen.cpp,71,38,28,0,15,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\LoaderScreen\loaderscreen.h,53,23,6,0,12,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\MainWindow\mainwindow.cpp,474,349,255,33,101,0,24,136,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\MainWindow\titlebar.cpp,116,72,45,8,24,1,20,141,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\MainWindow\underlyingwindow.cpp,105,68,44,7,19,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\MainWindow\mainwindow.h,154,105,53,0,31,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\MainWindow\titlebar.h,68,32,14,0,18,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\MainWindow\underlyingwindow.h,57,25,14,0,14,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\NavTab\navtab.cpp,89,50,37,3,21,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\NavTab\tabbutton.cpp,178,124,81,10,36,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\NavTab\navtab.h,76,40,19,0,18,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\NavTab\tabbutton.h,84,43,25,0,22,1,19,125,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\PopupWindow\popupwindow.cpp,537,438,350,39,76,0,23,129,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\PopupWindow\tray.cpp,94,60,42,7,16,1,18,118,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\PopupWindow\popupwindow.h,139,85,53,0,36,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\PopupWindow\tray.h,71,40,28,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\SearchBox\searchbox.cpp,240,163,122,10,55,0,22,155,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\SearchBox\searchbox.h,95,55,25,0,22,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\SearchBox\DateTimePicker\datetimepicker.cpp,97,65,50,7,14,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\SearchBox\DateTimePicker\datetimepicker.h,59,28,12,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\aboutdialog.cpp,49,21,18,0,10,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\cloudcredentialsdialog.cpp,91,56,41,1,17,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\creditsdialog.cpp,43,19,16,0,10,0,14,116,14,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\hotkeysdialog.cpp,55,42,34,0,13,0,0,0,0,0
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\moreoptionsdialog.cpp,163,114,97,6,31,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\settingsdialog.cpp,317,225,189,7,73,0,19,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\aboutdialog.h,53,22,6,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\cloudcredentialsdialog.h,65,33,11,0,14,1,18,117,0,0
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\creditsdialog.h,48,21,5,0,13,1,14,117,14,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\hotkeysdialog.h,48,31,12,0,17,1,0,1,0,0
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\moreoptionsdialog.h,85,47,19,0,20,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Settings\settingsdialog.h,142,97,55,0,27,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\TooltipWindow\copytooltipwindow.cpp,56,29,26,0,9,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\TooltipWindow\copytooltipwindow.h,56,25,10,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\UtilsUI\utilsui.cpp,69,36,27,2,15,0,18,116,18,116
