File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\UpdaterUtils\updaterutils.cpp,UpdaterUtils::dir() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\UpdaterUtils\updaterutils.cpp,UpdaterUtils::setDir(const QDir &dir),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_uglobalhotkeys.cpp,"UGlobalHotkeys::qt_static_metacall(QObject *_o, QMetaObject::Call _c, int _id, void **_a)",18,18,13,3,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_uglobalhotkeys.cpp,UGlobalHotkeys::metaObject() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_uglobalhotkeys.cpp,UGlobalHotkeys::qt_metacast(const char *_clname),5,5,4,4,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_uglobalhotkeys.cpp,"UGlobalHotkeys::qt_metacall(QMetaObject::Call _c, int _id, void **_a)",14,14,10,6,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_uglobalhotkeys.cpp,UGlobalHotkeys::activated(size_t _t1),3,3,4,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_ukeysequence.cpp,"UKeySequence::qt_static_metacall(QObject *_o, QMetaObject::Call _c, int _id, void **_a)",5,5,5,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_ukeysequence.cpp,UKeySequence::metaObject() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_ukeysequence.cpp,UKeySequence::qt_metacast(const char *_clname),5,5,4,4,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Libs\UGlobalHotkey\Sources\release\moc_ukeysequence.cpp,"UKeySequence::qt_metacall(QMetaObject::Call _c, int _id, void **_a)",3,3,3,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.cpp,Browser::Browser(QWidget *parent),58,50,50,0,8,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.cpp,Browser::~Browser(),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.cpp,Browser::setUrl(const QUrl &url),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.cpp,Browser::cleanClose(),5,5,4,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.cpp,Browser::controls() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.cpp,Browser::setControls(int flags),3,3,3,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\Browser\browser.cpp,Browser::closeEvent(QCloseEvent *event),4,3,3,0,1,0,0,0,
